,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
47,47,QkY91Sgf,2025-03-15,14:00,GERMANY - 3. LIGA,Verl,Ingolstadt,ROUND 29,2.2,3.3,3.2,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,1.67,2.1
48,48,zLihE5w0,2025-03-15,14:00,GERMANY - 3. LIGA,VfL Osnabruck,Arminia Bielefeld,ROUND 29,2.8,3.4,2.35,1.36,3.0,2.63,1.44,1.04,12.0,1.22,4.0,1.8,2.0,1.62,2.2
49,49,fgjaTRmo,2025-03-15,14:00,ISRAEL - LIGAT HA'AL,H. Beer Sheva,Netanya,CHAMPIONSHIP GROUP ,1.55,4.1,5.75,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.7,2.1,1.8,1.91
50,50,nTvEBYQk,2025-03-15,14:00,SPAIN - LALIGA2,Racing Club Ferrol,Eibar,ROUND 31,3.9,3.0,2.1,1.62,2.2,4.0,1.22,1.14,5.5,1.57,2.25,2.88,1.4,2.38,1.53
51,51,xEBlpCRF,2025-03-15,14:00,TURKEY - SUPER LIG,Kasimpasa,Alanyaspor,ROUND 28,2.0,3.5,3.5,1.3,3.4,2.38,1.53,1.03,15.0,1.18,4.5,1.62,2.25,1.53,2.38
52,52,I3y7D1Sh,2025-03-15,14:00,TURKEY - 1. LIG,Umraniyespor,Boluspor,ROUND 30,2.25,3.4,2.9,1.44,2.63,3.25,1.33,1.06,9.5,1.33,3.25,2.05,1.75,1.83,1.83
53,53,G0EEWeuH,2025-03-15,14:45,POLAND - EKSTRAKLASA,Stal Mielec,Slask Wroclaw,ROUND 25,2.3,3.4,3.1,1.4,2.75,3.0,1.36,1.05,11.0,1.29,3.5,2.0,1.85,1.8,1.95
54,54,nBu60dLU,2025-03-15,15:00,ITALY - SERIE A,Monza,Parma,ROUND 29,3.2,3.0,2.45,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.4,2.1,1.73,1.8,1.95
55,55,6VQM0QWA,2025-03-15,15:00,ITALY - SERIE A,Udinese,Verona,ROUND 29,1.69,3.5,5.0,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.1,1.73,2.0,1.75
56,56,hSv10DKl,2025-03-15,15:00,CROATIA - HNL,Sibenik,Istra 1961,ROUND 26,3.1,3.0,2.25,1.57,2.25,3.75,1.25,1.1,7.0,1.44,2.63,2.5,1.5,2.1,1.67
57,57,Sr8fLupf,2025-03-15,15:00,ITALY - SERIE B,Cesena,Spezia,ROUND 30,4.2,3.0,2.05,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.3,1.6,2.0,1.75
58,58,Ms13JJE6,2025-03-15,15:00,ITALY - SERIE B,Cittadella,Sassuolo,ROUND 30,4.33,3.4,1.85,1.4,2.75,3.0,1.36,1.05,11.0,1.29,3.5,2.0,1.85,1.8,1.95
59,59,feaBHcqJ,2025-03-15,15:00,ITALY - SERIE B,Frosinone,Brescia,ROUND 30,2.35,2.63,3.9,1.5,2.5,3.5,1.29,1.11,6.5,1.4,2.75,2.35,1.57,1.95,1.8
60,60,A3sbu1yQ,2025-03-15,15:00,ITALY - SERIE B,Juve Stabia,Modena,ROUND 30,2.5,2.8,3.25,1.57,2.25,3.75,1.25,1.11,6.5,1.53,2.38,2.7,1.44,2.1,1.67
61,61,4zdj0u6F,2025-03-15,15:00,PORTUGAL - LIGA PORTUGAL 2,Maritimo,Felgueiras,ROUND 26,2.3,3.2,3.1,1.53,2.38,3.5,1.29,1.08,8.0,1.4,2.75,2.3,1.6,2.0,1.73
62,62,jDo0rJek,2025-03-15,15:30,GERMANY - BUNDESLIGA,Augsburg,Wolfsburg,ROUND 26,2.62,3.3,2.7,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.1,1.73,1.8,1.95
63,63,pCv9tcQ1,2025-03-15,15:30,GERMANY - BUNDESLIGA,Mainz,Freiburg,ROUND 26,1.92,3.3,4.1,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.1,1.73,1.91,1.91
64,64,x6Rf40I8,2025-03-15,15:30,GERMANY - BUNDESLIGA,Union Berlin,Bayern Munich,ROUND 26,8.5,5.25,1.3,1.29,3.5,2.25,1.57,1.03,15.0,1.17,5.0,1.57,2.38,1.91,1.91
65,65,pEJS0RBG,2025-03-15,15:30,GERMANY - BUNDESLIGA,Werder Bremen,B. Monchengladbach,ROUND 26,2.4,3.6,2.75,1.3,3.4,2.38,1.53,1.03,15.0,1.17,5.0,1.57,2.38,1.5,2.5
66,66,KrrkXYu9,2025-03-15,16:00,ENGLAND - PREMIER LEAGUE,Everton,West Ham,ROUND 29,2.05,3.2,3.8,1.5,2.5,3.4,1.3,1.08,8.0,1.4,3.0,2.3,1.62,1.95,1.8
67,67,ncbVC4ff,2025-03-15,16:00,ENGLAND - PREMIER LEAGUE,Ipswich,Nottingham,ROUND 29,4.1,3.5,1.91,1.36,3.0,2.75,1.4,1.05,11.0,1.25,4.0,1.87,2.03,1.7,2.05
68,68,0zXw9MgJ,2025-03-15,16:00,ENGLAND - PREMIER LEAGUE,Manchester City,Brighton,ROUND 29,1.67,4.33,4.5,1.25,3.75,2.2,1.62,1.03,17.0,1.14,5.5,1.5,2.63,1.53,2.38
69,69,CE0dR39m,2025-03-15,16:00,ENGLAND - PREMIER LEAGUE,Southampton,Wolves,ROUND 29,3.9,3.5,1.95,1.36,3.0,2.63,1.44,1.05,11.0,1.25,4.0,1.8,2.0,1.67,2.1
70,70,0lAuRbWb,2025-03-15,16:00,BELGIUM - CHALLENGER PRO LEAGUE,Anderlecht U23,Seraing,ROUND 26,1.8,3.6,3.9,1.33,3.25,2.5,1.5,1.03,15.0,1.2,4.33,1.67,2.15,1.62,2.2
71,71,EyrDNps4,2025-03-15,16:00,BELGIUM - CHALLENGER PRO LEAGUE,Francs Borains,Waregem,ROUND 26,3.7,3.6,1.85,1.3,3.4,2.5,1.5,1.03,15.0,1.18,4.5,1.62,2.25,1.57,2.25
72,72,K0gbgjQF,2025-03-15,16:00,CZECH REPUBLIC - CHANCE LIGA,FK Pardubice,Dukla Prague,ROUND 26,2.2,3.1,3.2,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.1,1.7,1.8,1.95
73,73,KYWQf31K,2025-03-15,16:00,CZECH REPUBLIC - CHANCE LIGA,Teplice,Slovacko,ROUND 26,1.9,3.4,4.1,1.5,2.5,3.4,1.3,1.07,9.0,1.4,2.75,2.25,1.62,2.0,1.75
74,74,lMASTSGi,2025-03-15,16:00,ENGLAND - CHAMPIONSHIP,Blackburn,Cardiff,ROUND 38,2.0,3.3,3.8,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.2,1.67,1.91,1.8
75,75,Otn0RKx3,2025-03-15,16:00,ENGLAND - CHAMPIONSHIP,Coventry,Sunderland,ROUND 38,2.5,3.25,2.8,1.44,2.63,3.0,1.36,1.06,9.5,1.33,3.4,2.05,1.8,1.8,1.91
