,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
38,38,IRD4sgwJ,2025-01-11,15:00,ITALY - SERIE A,Udinese,Atalanta,ROUND 20,5.5,3.9,1.6,1.36,3.0,1.05,11.0,1.25,4.0,1.85,2.05,1.8,1.95
39,39,jB6IJnml,2025-01-11,15:00,EGYPT - PREMIER LEAGUE,National Bank Egypt,El Ismaily,ROUND 8,1.95,3.0,4.0,1.55,2.28,1.08,5.8,1.53,2.25,2.7,1.37,2.4,1.52
40,40,46OrcBKH,2025-01-11,15:00,INDIA - ISL,Mohun Bagan,East Bengal,ROUND 16,1.44,4.5,5.75,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.67,2.1
41,41,tGP6QGaN,2025-01-11,15:30,GERMANY - BUNDESLIGA,Freiburg,Holstein Kiel,ROUND 16,1.38,5.0,8.0,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.38,1.8,1.95
42,42,82RbSxVA,2025-01-11,15:30,GERMANY - BUNDESLIGA,Heidenheim,Union Berlin,ROUND 16,3.2,3.25,2.3,1.44,2.63,1.07,9.0,1.33,3.4,2.0,1.8,1.8,1.95
43,43,CzYkUb0b,2025-01-11,15:30,GERMANY - BUNDESLIGA,Hoffenheim,Wolfsburg,ROUND 16,2.35,3.6,2.8,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,1.5,2.5
44,44,ClDOrbFi,2025-01-11,15:30,GERMANY - BUNDESLIGA,Mainz,Bochum,ROUND 16,1.6,4.2,5.25,1.33,3.25,1.04,13.0,1.25,4.0,1.73,2.1,1.8,1.95
45,45,tU4uuGEG,2025-01-11,15:30,GERMANY - BUNDESLIGA,St. Pauli,Eintracht Frankfurt,ROUND 16,3.5,3.5,2.1,1.36,3.0,1.05,11.0,1.25,4.0,1.8,2.0,1.67,2.1
46,46,MZUCToU7,2025-01-11,15:40,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Qadisiya,Al Taawon,ROUND 14,1.65,3.5,5.25,1.44,2.63,1.04,9.0,1.3,3.4,2.03,1.78,2.0,1.73
47,47,8xIcIZKE,2025-01-11,16:00,BELGIUM - JUPILER PRO LEAGUE,Westerlo,St. Truiden,ROUND 21,2.0,3.75,3.3,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.5,2.5
